"","Genus","N_Litter_Mn","P_Litter_Mn","C_Litter_Mn","Lignin_Litter_Mn","Cellulose_Litter_Mn","CtoN_Litter_Mn","NtoP_Litter_Mn","X","N_Leaf_Mn","N_Leaf_Med","P_Leaf_Mn","P_Leaf_Med","NtoP_Leaf_Mn","NtoP_Leaf_Med","Thick_Mn","Thick_Med","C_Leaf_Mn","C_Leaf_Med","CtoN_Leaf_Mn","CtoN_Leaf_Med","Ca_Leaf_Mn","Ca_Leaf_Med"
"84","Leandra",0.41,0.02,NA,NA,NA,NA,45.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","Leersia",1,NA,37,5.2,NA,42.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Licania",0.45,0.03,NA,NA,NA,NA,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Liquidambar",0.857777777777778,0.0825,44.3833333333333,24,13,66.6142857142857,64.175,35,1.782480922,1.7725,0.118505067,0.097125,14.64547082,14.05778953,0.145384615,0.148,41.51650583,43.01333333,42.81309641,42.25761575,0.905,0.905
"88","Liriodendron",0.936363636363636,0.155555555555556,46.05,18.6,20.1,56.4,36.925,36,2.285142214,2.248383333,0.127867643,0.12,14.5922245,14.33931638,0.169923077,0.17,46.035625,46.94,35.97201353,35.59525704,1.02,1.02
"89","Litsea",2.16,0.06,NA,NA,NA,NA,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Livistona",1.6,NA,44.2,NA,NA,32.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Lonchocarpus",2.39,0.23,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Luehea",1.61,0.115,44.2,16.3,19.9,40.6,29.15,37,2.156173523,2.172762373,0.138005885,0.132002495,20.80420189,20.80420189,0.212700913,0.210833333,48.14297727,48.10260247,22.16292615,21.74854114,1.393751766,1.393751766
"93","Macaranga",0.95,0.03,NA,NA,NA,NA,70.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Machilus",0.92,0.06,51.8,NA,NA,39.8,43.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Manilkara",0.51,0.01,NA,NA,NA,NA,112.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Marattia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Melaleuca",1.7,NA,47.6,NA,NA,32.7,NA,38,1.166579732,1.165330353,0.057704974,0.057291296,19.77163517,19.53996869,0.41693156,0.410981163,49.549757,49.549757,43.36605246,43.36605246,0.96,0.96
"98","Melicytus",1.7,NA,39.6,NA,NA,26.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Meriania",1.07,0.01,NA,NA,NA,NA,236.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Miconia",0.876666666666667,0.02,NA,NA,NA,NA,64.4666666666667,39,2.019590242,2.011995879,0.092003645,0.090090479,21.0256773,21.08344604,0.245375684,0.24494154,46.33591146,46.31703569,22.01366829,21.89539896,1.115320459,1.072192086
"101","Monocarpia",2.65,0.02,NA,NA,NA,NA,293.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Myrcia",0.85,0.01,NA,NA,NA,NA,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Myrica",2.4,NA,50.5,NA,NA,25.1,NA,40,1.987908705,1.976635498,0.070385656,0.065429091,32.17534814,32.17534814,0.195372864,0.188965333,42.12000066,42.12000066,26.3492728,26.3492728,0.815666667,0.463
"104","Neesia",0.81,0.04,NA,NA,NA,NA,44.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Nerium",0.685,0.06,NA,NA,NA,NA,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Nothofagus",0.792,0.02,46.75,NA,NA,41.7,69.125,41,1.411973804,1.42355,0.108210681,0.1107583,12.86789946,12.94502095,0.333534881,0.333253631,51.74159524,52.13714286,31.71856651,31.56911295,0.726333333,0.726333333
"107","Nyssa",1,0.25,46.1,17.2,NA,68,23.2,42,1.344791667,1.3725,0.124419048,0.1248,11.3642063,11.86425339,0.118721939,0.1205,45.91333333,45.91333333,52.4442875,52.4442875,0.94,0.94
"108","Ochlandra",1.1,NA,37.9,NA,NA,39.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Ocotea",1.1075,0.05,NA,NA,NA,NA,45.3,43,2.135093357,2.148661876,0.090307492,0.090683785,23.73618891,23.77405173,0.223429057,0.223319894,49.48610739,49.53910559,24.711627,24.8998908,0.453658199,0.445485107
"110","Ormosia",1.86,0.02,NA,NA,NA,NA,205.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Pandanus",1.05,NA,42.3,NA,NA,49.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Parartocarpus",1.53,0.03,NA,NA,NA,NA,112.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Perrottetia",1.13,0.06,NA,NA,NA,NA,41.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Peumus",0.82,0.12,NA,NA,NA,NA,15.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Phalaris",1.3,NA,41.1,9.1,NA,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Phragmites",1.96666666666667,0,NA,6.9,NA,NA,24.4,44,2.127890243,2.057614484,0.122025164,0.122960735,29.32776705,17.0875432,0.223851852,0.232777778,43.59792307,44.56322791,22.91288825,23.06096189,1.201541909,1.188305945
"117","Picea",1.22,0.1,49.45,20.9,26.9,43.9,34.8,45,1.355054344,1.35410643,0.147718682,0.145190064,8.948934218,8.89361122,2.642593993,2.360288363,44.15062697,44.01805319,49.50033255,49.64460507,0.643273051,0.63754375
"118","Pinus",0.683333333333333,0.05,52.28,22.3,28.225,119.9,25.325,46,1.182714308,1.163657553,0.110467823,0.102268067,13.95446679,13.93903648,2.280047569,2.238235157,48.29694827,48.39573082,48.45692077,48.07498421,0.313516482,0.28675
"119","Platanus",0.7,0.075,50.8,33.2,18.9,80.7,30.525,47,2.323822846,2.3833985,0.28055,0.27905,14.7152172,14.44256757,0.202653846,0.202653846,47.66,47.66,41.37821675,41.37821675,1.201541909,1.188305945
"120","Pollia",2.13,0.07,NA,NA,NA,NA,67.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Polygonum",1.4,0.05,47.5,13.55,12.95,43.25,41.85,48,2.887628796,2.744751325,0.200331371,0.205388669,18.00015913,17.49169148,0.182142323,0.178433333,43.89387384,44.06531219,19.69630143,19.62851315,1.567083333,1.5075
"122","Pomaderris",0.98,0.04,NA,24,44,NA,64.2333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Populus",0.687924528301887,0.12775,45.7159090909091,17.1633333333333,11.65,93.7765957446808,22.9225,49,2.152336453,2.17033339,0.146105296,0.14365357,12.38952156,12.13898309,0.213284254,0.211719011,46.47447871,46.61981338,29.04748221,26.58845596,1.669141667,1.561625
"124","Potamogeton",2.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Prestoea",0.77,0.07,NA,NA,NA,NA,24.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126","Protium",0.902857142857143,0.03,NA,26.3,NA,NA,62.5857142857143,50,1.792960439,1.778385367,0.074874289,0.07368584,23.47618611,23.06166305,0.18032527,0.177373289,46.42629542,46.48634731,26.06323473,25.72492476,0.657675516,0.652905698
"127","Prunus",0.928,0.044,49.4,21.1,29,66.1,42.6,51,2.05010031,2.061374582,0.160757584,0.154741612,14.09584231,14.22297691,0.220514523,0.219151163,46.96167914,47.00739138,29.47499748,29.03829453,1.635332457,1.609895775
"128","Psychotria",0.73,0.03,NA,NA,NA,NA,53.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Pterodon",1.73,0.03,NA,NA,NA,NA,127.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Quercus",0.846222222222222,0.0984375,49.3285714285714,22.8611111111111,20.4363636363636,68.0913043478261,38.269696969697,52,1.777810016,1.768636401,0.143452812,0.138331442,14.89394638,14.96330039,0.208790479,0.208653511,46.30449648,46.32740311,39.1407471,38.58271109,0.96223085,0.935610645
"131","Rhaphithamnus",1.41,0.06,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Rhododendron",0.478333333333333,0.0166666666666667,48.0666666666667,20.575,27.8666666666667,132.36,70.7,53,1.346575046,1.336562441,0.108177125,0.108359899,13.40432382,13.33877077,0.288294626,0.287313725,45.54838802,45.68754194,34.45749353,34.45749353,1.167048889,1.1652
"133","Rhoicissus",NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Ribes",1.05,0.18,NA,NA,NA,NA,12.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Richeria",0.38,0.01,NA,NA,NA,NA,84.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Rubus",NA,NA,NA,NA,NA,NA,NA,54,2.25859018,2.254018511,0.217235192,0.216756045,12.90444216,12.9080044,0.1781875,0.178038194,43.98179523,43.9767374,22.96258759,22.93649527,1.4675,1.4675
"137","Saccharum",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138","Salix",1.19,0.0842857142857143,46.7,25.6333333333333,NA,33.98,29.8428571428571,55,2.366129036,2.368469477,0.214539171,0.213230492,12.81032113,12.92185551,0.193128867,0.196248895,47.92031717,48.0222704,21.83001039,21.90285925,2.009632653,2.023428571
"139","Sambucus",3.19,0.18,43,NA,NA,16.1,36.5,56,3.386671341,3.372745283,0.269878701,0.273029404,13.76128542,14.00228871,0.109684314,0.1065,42.97111514,42.93187533,10.45255523,11.3809759,1.63,1.64
"140","Sapium",1.23,0.06,NA,NA,NA,NA,45.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Saurauia",0.59,0.05,NA,NA,NA,NA,26.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Schefflera",2.3,0.2,51.4,NA,NA,26.4,29.6,57,1.751549024,1.736138062,0.122026675,0.113639298,16.8321517,17.10394736,0.36883767,0.319245,47.6312922,47.50733672,29.03611356,29.02901617,1.631435249,1.609500275
"143","Schizostachyum",0.6,0.01,NA,NA,NA,NA,132.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Schoenoplectus",0.45,0,37.9,8.1,NA,100.5,24.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Sebastiania",0.39,0.02,NA,NA,NA,NA,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Simira",2.02,0.115,44.9,15.3,22.9,25.6,37.15,58,2.339848909,2.126183439,0.173546404,0.181885467,24.66666667,24.66666667,0.154541015,0.161053505,47.24902788,47.43049425,18.07904383,18.34435917,1.201469235,1.068134615
"147","Sloanea",1.08,0.03,NA,NA,NA,NA,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","Solanum",2.57,0.13,NA,NA,NA,NA,43.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Sorocea",1.71,0.16,NA,NA,NA,NA,23.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150","Swietenia",0.59,0.03,NA,NA,NA,NA,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Symplocos",1.56,0.06,NA,NA,NA,NA,57.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Syzygium",0.573333333333333,0.04,NA,NA,NA,NA,33.6333333333333,59,1.335287563,1.348906714,0.090825919,0.094221208,17.10447414,17.32376012,0.410452381,0.348333333,51.53910023,51.51682256,42.75943629,42.75943629,0.962733333,0.928
"153","Tabernaemontana",1.85,0.11,NA,NA,NA,NA,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","Tachigali",0.73,0.03,NA,NA,NA,NA,53.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Tamarix",0.666666666666667,0,44.4333333333333,4.3,NA,83.7,30.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Tectona",NA,NA,NA,NA,NA,20.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","Telopea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Terminalia",1.24,0.085,41.35,7,17.5,56.5,39.75,60,1.978500735,1.973454243,0.141105495,0.143203379,17.71123689,18.0936316,0.223414445,0.221227768,44.27009924,44.39192933,24.13134812,24.08184606,1.522051555,1.451699084
"159","Tessaria",3.9,0,NA,11,19.2,NA,235.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Tibouchina",0.68,0.04,NA,NA,NA,NA,37.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Tilia",1.2,0.145,NA,16.6,24.2,42.5,16.3333333333333,61,2.390968835,2.389004078,0.234510975,0.238039866,12.221702,11.4654411,0.16027223,0.161219624,45.24249539,45.67458547,28.76559824,28.56330754,1.945,1.945
"162","Trema",1.475,0.1,35.175,3.45,11.9,28,36.95,62,2.606943455,2.632760507,0.211412311,0.208000802,16.98117129,16.64481356,0.196337079,0.196333333,44.34913117,44.34913117,14.65701673,14.65701673,1.676666667,1.62
"163","Tsuga",1.16,0.1,50.06,24,NA,54.68,50.7,63,1.060968889,1.065071429,0.137554076,0.138,7.962161675,7.098211392,7.619458333,7.617833333,46.82,46.82,57.2,57.2,1.201541909,1.188305945
"164","Turraea",0.975,0.05,NA,NA,NA,NA,48.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Typha",0.4,0,NA,7.9,NA,NA,33.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Ulmus",1.1375,0.125,44.45,12.88,7.4,56.3833333333333,19.225,64,2.145327709,2.189974218,0.189717513,0.183638791,13.63925551,13.83010314,0.174123408,0.169910058,41.032666,41.6581719,32.17552362,31.8265999,3.31,3.31
"167","Urochloa",2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Virola",1.38,0.07,NA,NA,NA,NA,43.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Vismia",0.85,0.04,NA,NA,NA,NA,47.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Vitex",1.18,0.01,NA,NA,NA,NA,261.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Wilkiea",2.07,0.07,NA,NA,NA,NA,65.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Zanthoxylum",0.85,0.06,NA,NA,NA,NA,31.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Zea",1.71428571428571,NA,45.2285714285714,5.2,NA,32.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Zygia",2.04,0.0833333333333333,46.55,24.9,23.15,27.65,75.8333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
